sample_id	population	superpopulation	tier	n_qualifying_variants	n_qualifying_genes	n_genes_with_shet	n_genes_missing_shet	n_high_pli_genes	sum_shet	max_shet	shet_burden	mean_cns_expression_percentile	max_cns_expression_percentile	empirical_percentile_within_1000G_EUR
NA12413	CEU	EUR	hc_ptv_gnomad1e5_ac1_pli90	4	3	3	0	3	0.288243	0.134764	0.26307820360051193	88.0508	91.5372	93.14285714285714
NA12341	CEU	EUR	hc_ptv_gnomad1e5_ac1_pli90	3	3	3	0	3	0.55205	0.190687	0.4567500859587793	86.26253333333334	87.8272	99.61904761904762
HG01607	IBS	EUR	hc_ptv_gnomad1e5_ac1_pli90	3	3	3	0	3	0.44542800000000005	0.275414	0.3960912483478176	83.3532	88.8219	98.28571428571429
HG00332	FIN	EUR	hc_ptv_gnomad1e5_ac1_pli90	3	1	1	0	1	0.157727	0.157727	0.15772699999999995	77.9694	77.9694	86.85714285714286
HG00141	GBR	EUR	hc_ptv_gnomad1e5_ac1_pli90	3	2	2	0	2	0.13193	0.095175	0.12843184287499998	74.9195	87.224	83.61904761904762
HG00321	FIN	EUR	hc_ptv_gnomad1e5_ac1_pli90	3	1	1	0	1	0.078165	0.078165	0.07816500000000004	74.6988	74.6988	80.95238095238095
HG01781	IBS	EUR	hc_ptv_gnomad1e5_ac1_pli90	3	1	1	0	1	0.030767	0.030767	0.03076699999999999	82.61	82.61	72.76190476190476
NA11995	CEU	EUR	hc_ptv_gnomad1e5_ac1_pli90	2	2	2	0	2	0.559943	0.379758	0.4915163047700001	96.56935	96.6085	100.0
HG01705	IBS	EUR	hc_ptv_gnomad1e5_ac1_pli90	2	2	2	0	2	0.545427	0.387607	0.48425486326	86.31115	91.0212	99.80952380952381
NA20774	TSI	EUR	hc_ptv_gnomad1e5_ac1_pli90	2	2	2	0	2	0.469244	0.261608	0.41492476131199996	84.11715	84.9695	99.04761904761905
NA12287	CEU	EUR	loftee_hc_ptv_gnomad1e3_ac1	19	19	15	4	2	0.447012	0.234246	0.38313206580505754	79.19508421052633	95.9928	95.04761904761905
NA20783	TSI	EUR	loftee_hc_ptv_gnomad1e3_ac1	15	14	11	3	1	0.536626	0.387813	0.4735592459633122	75.46677142857142	96.0569	98.28571428571429
HG01704	IBS	EUR	loftee_hc_ptv_gnomad1e3_ac1	14	14	10	4	3	0.527351	0.300915	0.44510768379002785	78.16332142857144	98.2455	97.52380952380952
HG01695	IBS	EUR	loftee_hc_ptv_gnomad1e3_ac1	13	13	11	2	0	0.297023	0.080564	0.2631030696692429	73.20593076923078	89.1938	85.52380952380952
NA20522	TSI	EUR	loftee_hc_ptv_gnomad1e3_ac1	13	13	8	5	2	0.25136200000000003	0.14935	0.23303153149324496	70.55737384615385	98.0765	81.71428571428571
NA20772	TSI	EUR	loftee_hc_ptv_gnomad1e3_ac1	13	13	9	4	3	0.207595	0.095038	0.19253702147273377	77.68998461538462	97.6049	76.0
NA20807	TSI	EUR	loftee_hc_ptv_gnomad1e3_ac1	13	12	9	3	0	0.18207700000000002	0.066271	0.16936727078891511	82.8056	95.6031	71.42857142857143
NA20767	TSI	EUR	loftee_hc_ptv_gnomad1e3_ac1	13	13	8	5	0	0.086981	0.026439	0.08400427631536023	67.98148461538462	95.1387	54.285714285714285
NA20763	TSI	EUR	loftee_hc_ptv_gnomad1e3_ac1	12	12	8	4	1	0.5707359999999999	0.268742	0.46965898209137225	77.190875	96.943	98.0952380952381
NA20503	TSI	EUR	loftee_hc_ptv_gnomad1e3_ac1	12	11	7	4	2	0.45061199999999996	0.207621	0.3865278354550534	77.06994545454546	96.3362	95.42857142857143
NA12341	CEU	EUR	modern_pli90_ptv_gnomad1e3_ac1	3	3	3	0	3	0.55205	0.190687	0.4567500859587793	86.26253333333334	87.8272	99.61904761904762
NA07000	CEU	EUR	modern_pli90_ptv_gnomad1e3_ac1	3	2	2	0	2	0.332337	0.320221	0.328457202364	93.47945	97.742	97.9047619047619
NA20814	TSI	EUR	modern_pli90_ptv_gnomad1e3_ac1	3	2	2	0	2	0.27381099999999997	0.213302	0.26090430928200004	91.8495	95.1423	94.0952380952381
NA20772	TSI	EUR	modern_pli90_ptv_gnomad1e3_ac1	3	3	3	0	3	0.14882099999999998	0.095038	0.1431922910193556	95.47853333333335	97.6049	86.0952380952381
HG00141	GBR	EUR	modern_pli90_ptv_gnomad1e3_ac1	3	2	2	0	2	0.12424199999999999	0.095175	0.12147554827499996	76.98625	91.3575	84.19047619047619
NA11995	CEU	EUR	modern_pli90_ptv_gnomad1e3_ac1	2	2	2	0	2	0.559943	0.379758	0.4915163047700001	96.56935	96.6085	100.0
HG01705	IBS	EUR	modern_pli90_ptv_gnomad1e3_ac1	2	2	2	0	2	0.545427	0.387607	0.48425486326	86.31115	91.0212	99.80952380952381
NA12775	CEU	EUR	modern_pli90_ptv_gnomad1e3_ac1	2	2	2	0	2	0.42631	0.358117	0.40188892741899995	77.5307	83.8858	98.85714285714286
HG00277	FIN	EUR	modern_pli90_ptv_gnomad1e3_ac1	2	2	2	0	2	0.33452000000000004	0.287316	0.32095753553600004	85.9864	98.4288	97.33333333333333
HG01516	IBS	EUR	modern_pli90_ptv_gnomad1e3_ac1	2	1	1	0	1	0.29383	0.29383	0.29383000000000004	86.03	86.03	96.0
